,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,123-51-3,ISOPENTANOL,2.30E-01,2.30E-01,2.31E-01,2.30E-01,2.16E+01,4.84E-03,3.56E+00,3.56E+00,1.15E-01,1.15E-01,1.15E-01,1.15E-01,1.08E+01,2.42E-03,1.78E+00,1.78E+00,,
,123-54-6,"2,4-PENTANEDIONE",4.55E+00,4.60E+00,4.64E+00,4.45E+00,8.08E+01,1.50E-02,1.24E+01,1.23E+01,2.27E+00,2.30E+00,2.32E+00,2.23E+00,4.04E+01,7.52E-03,6.21E+00,6.16E+00,,
,123-72-8,Butyraldehyde,1.18E-01,1.16E-01,1.15E-01,1.20E-01,4.64E+01,8.43E-03,6.42E+00,6.42E+00,5.89E-02,5.81E-02,5.76E-02,6.02E-02,2.32E+01,4.22E-03,3.21E+00,3.21E+00,,
,123-86-4,butyl acetate,1.17E-01,1.17E-01,1.17E-01,1.17E-01,2.84E+01,5.39E-03,1.41E+00,1.41E+00,5.85E-02,5.85E-02,5.86E-02,5.85E-02,1.42E+01,2.69E-03,7.03E-01,7.03E-01,,
,123-88-6,ARETAN,3.91E+01,4.42E+01,4.76E+01,3.07E+01,1.94E+04,2.12E-01,5.68E+03,5.68E+03,1.96E+01,2.21E+01,2.38E+01,1.54E+01,9.71E+03,1.06E-01,2.84E+03,2.84E+03,,F
,124-02-7,DIALLYLAMINE,7.10E+01,1.07E+02,1.31E+02,1.12E+01,6.55E+02,2.02E-02,3.09E-01,3.11E-01,3.55E+01,5.34E+01,6.54E+01,5.58E+00,3.28E+02,1.01E-02,1.54E-01,1.56E-01,,F
,124-04-9,HEXANEDIOIC ACID,4.99E+00,6.41E+00,7.35E+00,2.64E+00,2.49E+01,3.05E-12,2.39E+00,2.20E+00,2.50E+00,3.20E+00,3.68E+00,1.32E+00,1.24E+01,1.52E-12,1.20E+00,1.10E+00,,F
,124-07-2,OCTANOIC ACID,3.95E+00,4.74E+00,5.27E+00,2.64E+00,7.35E+01,1.22E-06,1.30E+00,3.58E+00,1.98E+00,2.37E+00,2.63E+00,1.32E+00,3.67E+01,6.12E-07,6.48E-01,1.79E+00,,F
,124-09-4,HEXAMETHYLENE DIAMINE,2.53E+01,3.81E+01,4.65E+01,4.13E+00,1.71E+02,1.07E-07,5.68E-02,5.68E-02,1.27E+01,1.90E+01,2.33E+01,2.07E+00,8.54E+01,5.34E-08,2.84E-02,2.84E-02,,F
,124-18-5,n-decane,4.66E-03,7.36E-03,9.16E-03,1.64E-04,1.22E+03,8.41E-06,5.04E-02,5.04E-02,2.33E-03,3.68E-03,4.58E-03,8.19E-05,6.08E+02,4.21E-06,2.52E-02,2.52E-02,,
,1241-94-7,2-ETHYLHEXYL DIPHENYL PHOSPHATE,5.48E+01,7.35E+01,8.60E+01,2.37E+01,1.61E+04,7.36E-01,3.31E+00,3.31E+00,2.74E+01,3.68E+01,4.30E+01,1.18E+01,8.03E+03,3.68E-01,1.66E+00,1.66E+00,,
,124-22-1,N-DODECYLAMINE,2.79E+04,4.18E+04,5.11E+04,4.70E+03,1.90E+05,6.87E-01,4.64E+01,4.65E+01,1.40E+04,2.09E+04,2.56E+04,2.35E+03,9.49E+04,3.43E-01,2.32E+01,2.32E+01,,F
,124-30-1,OCTADECYLAMINE,7.26E+02,1.08E+03,1.31E+03,1.45E+02,7.79E+03,4.47E-01,1.91E+00,1.93E+00,3.63E+02,5.38E+02,6.54E+02,7.23E+01,3.89E+03,2.23E-01,9.53E-01,9.67E-01,,F
,124-40-3,Dimethylamine,2.51E+01,3.77E+01,4.60E+01,4.20E+00,1.70E+02,2.58E-04,1.52E-01,1.52E-01,1.26E+01,1.88E+01,2.30E+01,2.10E+00,8.48E+01,1.29E-04,7.62E-02,7.62E-02,,F
,124-65-2,Sodium Cacodylate,1.53E+02,1.55E+02,1.56E+02,1.51E+02,4.72E+02,7.23E-10,1.59E+02,1.59E+02,7.67E+01,7.75E+01,7.81E+01,7.54E+01,2.36E+02,3.61E-10,7.95E+01,7.95E+01,,F
,124-68-5,2-AMINO-2-METHYL-1-PROPANOL,1.20E+01,1.78E+01,2.17E+01,2.21E+00,7.77E+01,8.02E-06,2.54E-01,2.54E-01,5.98E+00,8.90E+00,1.09E+01,1.10E+00,3.88E+01,4.01E-06,1.27E-01,1.27E-01,,F
,125401-92-5,Bispyribac-sodium,8.03E+02,8.29E+02,8.46E+02,7.59E+02,6.29E+03,1.48E-15,9.38E+02,9.38E+02,4.01E+02,4.14E+02,4.23E+02,3.80E+02,3.14E+03,7.41E-16,4.69E+02,4.69E+02,,F
,126-11-4,"2-HYDROXYMETHYL-2-NITRO-1,3-PROPANEDIOL",4.32E+01,4.43E+01,4.51E+01,4.13E+01,1.38E+02,5.21E-10,4.35E+01,4.35E+01,2.16E+01,2.22E+01,2.25E+01,2.07E+01,6.89E+01,2.60E-10,2.17E+01,2.17E+01,,
,126-22-7,BUTONATE,1.81E+03,1.86E+03,1.90E+03,1.73E+03,1.25E+04,1.23E+00,3.66E+03,3.66E+03,9.07E+02,9.32E+02,9.49E+02,8.65E+02,6.26E+03,6.17E-01,1.83E+03,1.83E+03,,F
,126-30-7,"1,3-Propanediol, 2,2-dimethyl-",6.94E+00,7.14E+00,7.28E+00,6.61E+00,2.31E+01,4.96E-05,7.28E+00,7.28E+00,3.47E+00,3.57E+00,3.64E+00,3.31E+00,1.16E+01,2.48E-05,3.64E+00,3.64E+00,,
,126-33-0,"TETRAHYDROTHIOPHENE-1,1-DIOXIDE",1.37E+01,1.39E+01,1.41E+01,1.32E+01,4.40E+01,4.92E-05,1.46E+01,1.46E+01,6.84E+00,6.97E+00,7.06E+00,6.62E+00,2.20E+01,2.46E-05,7.32E+00,7.32E+00,,
,126535-15-7,Triflusulfuron-methyl,1.85E+03,2.15E+03,2.35E+03,1.36E+03,4.07E+04,4.80E-06,6.80E+02,6.80E+02,9.27E+02,1.08E+03,1.18E+03,6.78E+02,2.03E+04,2.40E-06,3.40E+02,3.40E+02,,
,126-71-6,"Phosphoric acid, tris(2-methylpropyl) ester",9.01E-02,9.77E-02,1.03E-01,7.74E-02,2.65E+02,4.75E-03,1.65E+00,1.65E+00,4.50E-02,4.88E-02,5.14E-02,3.87E-02,1.32E+02,2.38E-03,8.26E-01,8.26E-01,,
,12672-29-6,AROCLOR 1248,7.59E+02,8.10E+02,8.44E+02,6.73E+02,1.33E+05,9.62E+01,2.15E+02,2.15E+02,3.79E+02,4.05E+02,4.22E+02,3.36E+02,6.63E+04,4.81E+01,1.08E+02,1.08E+02,,F
,127-09-3,"ACETIC ACID, SODIUM SALT",5.09E-01,5.47E-01,5.71E-01,4.48E-01,1.79E+00,3.02E-13,4.60E-01,4.60E-01,2.55E-01,2.73E-01,2.86E-01,2.24E-01,8.93E-01,1.51E-13,2.30E-01,2.30E-01,,F
,127-20-8,DALAPON (SODIUM SALT),3.01E+02,3.11E+02,3.18E+02,2.84E+02,9.73E+02,1.39E-08,2.97E+02,2.97E+02,1.50E+02,1.55E+02,1.59E+02,1.42E+02,4.86E+02,6.97E-09,1.48E+02,1.48E+02,,F
,127-65-1,Chloramine-T,1.13E+03,1.12E+03,1.12E+03,1.13E+03,3.16E+03,6.32E-10,1.31E+03,1.31E+03,5.63E+02,5.60E+02,5.58E+02,5.67E+02,1.58E+03,3.16E-10,6.55E+02,6.55E+02,,F
,127-68-4,"M-NITROBENZENESULFONIC ACID, SODIUM SALT",1.12E+01,1.12E+01,1.12E+01,1.12E+01,3.37E+01,3.04E-03,1.38E+01,1.38E+01,5.59E+00,5.59E+00,5.59E+00,5.59E+00,1.68E+01,1.52E-03,6.92E+00,6.92E+00,,F
,12771-68-5,ANCYMIDOL,4.25E+02,6.02E+02,7.21E+02,1.28E+02,2.57E+03,6.18E-06,7.55E+01,7.55E+01,2.12E+02,3.01E+02,3.60E+02,6.41E+01,1.29E+03,3.09E-06,3.78E+01,3.78E+01,,
,128-03-0,"Carbamodithioic acid, dimethyl-, potassium salt",5.78E+03,5.94E+03,6.05E+03,5.51E+03,2.01E+04,1.65E-09,6.77E+03,6.77E+03,2.89E+03,2.97E+03,3.03E+03,2.75E+03,1.01E+04,8.23E-10,3.39E+03,3.39E+03,,F
,128-04-1,"DIMETHYLDITHIOCARBAMIC ACID, SODIUM SALT",1.11E+05,1.14E+05,1.17E+05,1.05E+05,3.73E+05,1.35E-07,1.26E+05,1.26E+05,5.55E+04,5.72E+04,5.83E+04,5.27E+04,1.86E+05,6.73E-08,6.28E+04,6.28E+04,,F
,128639-02-1,Carfentrazone-ethyl,3.15E+04,4.67E+04,5.69E+04,6.22E+03,2.33E+05,1.68E-01,4.64E+01,4.64E+01,1.58E+04,2.34E+04,2.84E+04,3.11E+03,1.17E+05,8.41E-02,2.32E+01,2.32E+01,,
,130-15-4,"1,4-NAPHTHOQUINONE",1.85E+04,2.09E+04,2.26E+04,1.43E+04,9.83E+04,3.30E-01,1.45E+04,1.45E+04,9.23E+03,1.05E+04,1.13E+04,7.17E+03,4.92E+04,1.65E-01,7.24E+03,7.24E+03,,
,13067-93-1,CYANOFENPHOS,2.00E+02,2.78E+02,3.30E+02,7.08E+01,3.07E+04,1.66E-01,1.62E+02,1.62E+02,1.00E+02,1.39E+02,1.65E+02,3.54E+01,1.53E+04,8.31E-02,8.11E+01,8.11E+01,,F
,131-09-9,"9,10-Anthracenedione, 2-chloro-",7.78E+00,9.60E+00,1.08E+01,4.74E+00,1.46E+02,1.44E-03,1.35E+00,1.35E+00,3.89E+00,4.80E+00,5.41E+00,2.37E+00,7.28E+01,7.22E-04,6.73E-01,6.73E-01,,
,131-11-3,dimethylphthalate (DMP),1.87E+01,1.96E+01,2.02E+01,1.72E+01,1.67E+02,4.99E-03,2.08E+01,2.08E+01,9.35E+00,9.80E+00,1.01E+01,8.62E+00,8.35E+01,2.49E-03,1.04E+01,1.04E+01,,
,131341-86-1,FLUDIOXONIL,1.38E+04,2.05E+04,2.50E+04,2.55E+03,9.87E+04,6.28E-03,2.49E+02,2.49E+02,6.90E+03,1.03E+04,1.25E+04,1.27E+03,4.94E+04,3.14E-03,1.25E+02,1.25E+02,,
,131-52-2,"PENTACHLOROPHENOL, NA SALT",3.84E+04,3.85E+04,3.87E+04,3.81E+04,1.40E+05,1.29E-08,5.25E+04,5.25E+04,1.92E+04,1.93E+04,1.93E+04,1.91E+04,7.00E+04,6.46E-09,2.63E+04,2.63E+04,,F
,13181-17-4,BROMOFENOXIM,2.86E+04,3.90E+04,4.59E+04,1.14E+04,1.59E+05,8.03E-05,3.05E+03,1.35E+04,1.43E+04,1.95E+04,2.29E+04,5.69E+03,7.95E+04,4.02E-05,1.53E+03,6.73E+03,,F
,131860-33-8,Azoxystrobin,1.40E+04,1.46E+04,1.49E+04,1.32E+04,7.70E+04,3.92E-06,1.56E+04,1.56E+04,7.02E+03,7.28E+03,7.45E+03,6.59E+03,3.85E+04,1.96E-06,7.81E+03,7.81E+03,,
,1319-77-3,Cresol(s),7.71E+00,9.06E+00,9.95E+00,5.48E+00,9.41E+02,1.15E-02,4.14E+01,4.14E+01,3.86E+00,4.53E+00,4.98E+00,2.74E+00,4.71E+02,5.73E-03,2.07E+01,2.07E+01,,
,1320-18-9,"2,4-D, PROPYLENE GLYCOL BUTYLETHER ESTER",2.32E+02,2.53E+02,2.68E+02,1.96E+02,2.42E+04,4.81E+00,1.88E+02,1.88E+02,1.16E+02,1.27E+02,1.34E+02,9.80E+01,1.21E+04,2.40E+00,9.40E+01,9.40E+01,,
,1321-94-4,METHYL NAPHTHALENES (mixture of isomers),5.90E-01,6.64E-01,7.14E-01,4.67E-01,1.58E+03,3.61E-02,4.56E+00,4.56E+00,2.95E-01,3.32E-01,3.57E-01,2.33E-01,7.91E+02,1.80E-02,2.28E+00,2.28E+00,,
,132-64-9,Dibenzofuran,1.20E+01,1.24E+01,1.27E+01,1.13E+01,2.15E+03,7.38E-01,2.93E+00,2.93E+00,6.00E+00,6.22E+00,6.36E+00,5.64E+00,1.08E+03,3.69E-01,1.46E+00,1.46E+00,,
,132-65-0,DIBENZOTHIOPHENE,2.60E+02,2.81E+02,2.95E+02,2.24E+02,2.70E+04,6.92E+00,2.79E+01,2.79E+01,1.30E+02,1.40E+02,1.48E+02,1.12E+02,1.35E+04,3.46E+00,1.39E+01,1.39E+01,,F
,13360-45-7,CHLORBROMURON,2.19E+03,3.11E+03,3.72E+03,6.53E+02,1.60E+04,1.27E-02,2.95E+02,2.95E+02,1.09E+03,1.55E+03,1.86E+03,3.27E+02,7.99E+03,6.35E-03,1.47E+02,1.47E+02,,
,13411-16-0,"2-PYRIDINEMETHANOL, 6-[2-(5-NITRO-2-FURANYL)ETHE",1.98E+03,2.56E+03,2.95E+03,1.01E+03,1.04E+04,1.37E-05,9.75E+02,9.99E+02,9.90E+02,1.28E+03,1.47E+03,5.06E+02,5.22E+03,6.87E-06,4.88E+02,4.99E+02,,F
,134-20-3,METHYL ANTHRANILATE,6.02E+00,6.95E+00,7.56E+00,4.48E+00,8.59E+02,1.31E-02,2.38E+01,2.38E+01,3.01E+00,3.47E+00,3.78E+00,2.24E+00,4.29E+02,6.55E-03,1.19E+01,1.19E+01,,F
,13463-41-7,"Zinc, bis(1-hydroxy-2(1H)-pyridinethionato-O,S)-, (T-4)-",4.64E+05,4.72E+05,4.76E+05,4.52E+05,1.45E+06,1.40E-01,4.78E+05,4.78E+05,2.32E+05,2.36E+05,2.38E+05,2.26E+05,7.24E+05,7.01E-02,2.39E+05,2.39E+05,,F
,135158-54-2,CGA 245704,7.04E+02,8.97E+02,1.03E+03,3.82E+02,1.80E+04,1.52E-01,8.07E+01,8.07E+01,3.52E+02,4.48E+02,5.13E+02,1.91E+02,9.02E+03,7.59E-02,4.04E+01,4.04E+01,,
,135-19-3,2-NAPHTHOL,2.24E+02,3.29E+02,3.99E+02,5.03E+01,4.80E+03,2.13E-03,9.75E+01,9.79E+01,1.12E+02,1.64E+02,1.99E+02,2.52E+01,2.40E+03,1.07E-03,4.88E+01,4.89E+01,,
,136-25-4,ERBON,1.89E+00,2.05E+00,2.16E+00,1.63E+00,7.51E+02,5.03E-01,1.84E+00,1.84E+00,9.46E-01,1.03E+00,1.08E+00,8.14E-01,3.76E+02,2.52E-01,9.19E-01,9.19E-01,,F
,13674-84-5,"2-PROPANOL, 1-CHLORO-, PHOSPHATE (3:1)",1.04E+02,1.24E+02,1.37E+02,7.09E+01,8.33E+02,6.11E-03,1.15E+02,1.15E+02,5.21E+01,6.21E+01,6.87E+01,3.55E+01,4.16E+02,3.06E-03,5.77E+01,5.77E+01,,
,13684-56-5,DESMEDIPHAM,1.20E+04,1.80E+04,2.20E+04,2.02E+03,8.47E+04,9.72E-04,1.19E+02,1.19E+02,6.00E+03,9.00E+03,1.10E+04,1.01E+03,4.24E+04,4.86E-04,5.95E+01,5.96E+01,,
,137-41-7,"Methylcarbamodithioic acid, Monopotassium salt",9.58E+01,1.19E+02,1.34E+02,5.77E+01,2.88E+03,6.27E-05,4.11E+02,3.67E+02,4.79E+01,5.94E+01,6.70E+01,2.89E+01,1.44E+03,3.14E-05,2.05E+02,1.84E+02,,F
,137-42-8,"METHYLDITHIOCARBAMIC ACID, NA SALT",1.23E+04,1.47E+04,1.63E+04,8.35E+03,5.56E+04,1.50E-08,9.06E+03,9.06E+03,6.15E+03,7.34E+03,8.13E+03,4.17E+03,2.78E+04,7.49E-09,4.53E+03,4.53E+03,,F
,138-22-7,BUTYL LACTATE,1.29E+00,1.33E+00,1.35E+00,1.24E+00,4.35E+01,2.20E-03,7.40E+00,7.40E+00,6.47E-01,6.63E-01,6.74E-01,6.20E-01,2.17E+01,1.10E-03,3.70E+00,3.70E+00,,
,13826-35-2,"Benzenemethanol, 3-phenoxy-",2.47E+02,3.55E+02,4.27E+02,6.66E+01,1.68E+03,2.01E-04,2.96E+01,2.96E+01,1.23E+02,1.78E+02,2.14E+02,3.33E+01,8.42E+02,1.00E-04,1.48E+01,1.48E+01,,F
,13863-31-5,TINOPAL 5BM,2.41E+02,2.45E+02,2.47E+02,2.36E+02,1.19E+03,1.87E-36,3.16E+02,3.16E+02,1.21E+02,1.22E+02,1.23E+02,1.18E+02,5.94E+02,9.37E-37,1.58E+02,1.58E+02,,F
,138-93-2,DCDIC,3.84E+02,4.72E+02,5.30E+02,2.38E+02,1.80E+03,1.00E-07,2.35E+02,2.35E+02,1.92E+02,2.36E+02,2.65E+02,1.19E+02,9.00E+02,5.01E-08,1.17E+02,1.17E+02,,F
,1397-94-0,Antimycin A,3.13E+06,3.63E+06,3.97E+06,2.28E+06,8.51E+07,4.42E-12,6.98E+05,8.35E+05,1.56E+06,1.82E+06,1.99E+06,1.14E+06,4.26E+07,2.21E-12,3.49E+05,4.17E+05,,
,140-01-2,"DIETHYLENETRIAMINEPENTAACETIC ACID, PENTA SODIU*",5.83E+00,6.55E+00,7.03E+00,4.63E+00,2.61E+01,5.52E-18,7.12E+00,7.12E+00,2.92E+00,3.28E+00,3.52E+00,2.32E+00,1.30E+01,2.76E-18,3.56E+00,3.56E+00,,F
,140-31-8,1-Piperazineethanamine,1.21E+01,1.72E+01,2.06E+01,3.50E+00,8.08E+01,1.89E-06,3.16E+00,3.17E+00,6.04E+00,8.61E+00,1.03E+01,1.75E+00,4.04E+01,9.47E-07,1.58E+00,1.58E+00,,F
,140-66-9,"P-(1,1,3,3-TETRAMETHYLBUTYL)PHENOL",1.07E+02,1.26E+02,1.38E+02,7.66E+01,3.48E+04,4.40E+00,7.85E+01,7.86E+01,5.36E+01,6.29E+01,6.90E+01,3.83E+01,1.74E+04,2.20E+00,3.93E+01,3.93E+01,,
,141-10-6,Pseudoionone,1.54E-01,2.07E-01,2.43E-01,6.48E-02,1.34E+03,4.72E-03,1.91E+00,1.91E+00,7.68E-02,1.03E-01,1.21E-01,3.24E-02,6.68E+02,2.36E-03,9.56E-01,9.56E-01,,
,141112-29-0,Isoxaflutole,7.70E+03,1.14E+04,1.39E+04,1.47E+03,4.97E+04,1.14E-03,1.66E+02,1.66E+02,3.85E+03,5.72E+03,6.96E+03,7.35E+02,2.49E+04,5.68E-04,8.29E+01,8.29E+01,,
,141-32-2,Butyl acrylate,3.33E-01,3.36E-01,3.38E-01,3.28E-01,3.90E+02,1.62E-02,8.16E+00,8.16E+00,1.67E-01,1.68E-01,1.69E-01,1.64E-01,1.95E+02,8.11E-03,4.08E+00,4.08E+00,,
,141-43-5,ETHANOLAMINE,9.80E+00,1.44E+01,1.75E+01,2.12E+00,6.26E+01,2.23E-06,6.50E-01,6.51E-01,4.90E+00,7.20E+00,8.74E+00,1.06E+00,3.13E+01,1.12E-06,3.25E-01,3.25E-01,,F
,141776-32-1,SULFOSULFURON,1.12E+03,1.29E+03,1.41E+03,8.19E+02,5.19E+03,6.97E-05,1.17E+03,1.17E+03,5.58E+02,6.47E+02,7.06E+02,4.09E+02,2.60E+03,3.49E-05,5.83E+02,5.83E+02,,F
,141-82-2,MALONIC ACID,1.17E+01,1.48E+01,1.68E+01,6.54E+00,5.65E+01,8.43E-12,5.79E+00,5.78E+00,5.84E+00,7.39E+00,8.42E+00,3.27E+00,2.83E+01,4.22E-12,2.89E+00,2.89E+00,,F
,141-97-9,ACETOACETIC ESTER,2.36E+00,2.40E+00,2.43E+00,2.29E+00,3.71E+01,4.51E-03,6.33E+00,6.33E+00,1.18E+00,1.20E+00,1.22E+00,1.14E+00,1.86E+01,2.25E-03,3.16E+00,3.16E+00,,
,1420-06-0,TRIFENMORPH,2.85E+03,4.13E+03,4.99E+03,7.05E+02,2.88E+05,1.80E+00,6.25E+03,4.88E+03,1.42E+03,2.07E+03,2.50E+03,3.53E+02,1.44E+05,9.02E-01,3.12E+03,2.44E+03,,
,1420-07-1,Dinoterb,3.03E+04,3.97E+04,4.59E+04,1.48E+04,4.13E+05,2.22E-02,1.15E+03,7.92E+03,1.52E+04,1.98E+04,2.30E+04,7.38E+03,2.07E+05,1.11E-02,5.77E+02,3.96E+03,,F
,142-08-5,2-HYDROXYPYRIDINE,1.06E+00,1.30E+00,1.45E+00,6.69E-01,4.84E+00,4.96E-08,6.29E-01,6.29E-01,5.30E-01,6.48E-01,7.26E-01,3.34E-01,2.42E+00,2.48E-08,3.15E-01,3.15E-01,,F
,14214-32-5,DIFENOXURON,1.60E+03,2.31E+03,2.79E+03,4.06E+02,1.05E+04,6.58E-04,2.13E+02,2.13E+02,7.99E+02,1.16E+03,1.39E+03,2.03E+02,5.24E+03,3.29E-04,1.06E+02,1.06E+02,,
,142-28-9,"1,3-DICHLOROPROPANE",2.07E-01,2.07E-01,2.08E-01,2.07E-01,4.31E+01,3.80E-02,2.92E+00,2.92E+00,1.04E-01,1.04E-01,1.04E-01,1.04E-01,2.16E+01,1.90E-02,1.46E+00,1.46E+00,,
,14235-86-0,Hydrargaphen,2.86E+01,3.42E+01,3.79E+01,1.93E+01,9.16E+02,1.62E-08,4.26E-01,4.26E-01,1.43E+01,1.71E+01,1.89E+01,9.65E+00,4.58E+02,8.09E-09,2.13E-01,2.13E-01,,F
,142459-58-3,Fluthiamide,2.26E+04,3.19E+04,3.81E+04,7.04E+03,1.74E+05,3.73E-01,3.57E+03,3.57E+03,1.13E+04,1.59E+04,1.90E+04,3.52E+03,8.71E+04,1.86E-01,1.78E+03,1.78E+03,,
,142-62-1,hexanoic acid,4.76E+00,5.41E+00,5.85E+00,3.66E+00,5.96E+01,1.55E-06,4.29E+00,3.76E+00,2.38E+00,2.71E+00,2.93E+00,1.83E+00,2.98E+01,7.75E-07,2.14E+00,1.88E+00,,F
,142-82-5,N-HEPTANE,2.80E-05,4.30E-05,5.30E-05,2.98E-06,5.31E+00,1.67E-07,4.35E-04,4.35E-04,1.40E-05,2.15E-05,2.65E-05,1.49E-06,2.66E+00,8.37E-08,2.18E-04,2.18E-04,,
,142-84-7,DIPROPYLAMINE,1.00E+02,1.50E+02,1.84E+02,1.60E+01,6.96E+02,2.18E-03,1.39E-01,1.39E-01,5.00E+01,7.52E+01,9.20E+01,8.02E+00,3.48E+02,1.09E-03,6.93E-02,6.93E-02,,F
,142-96-1,DI-N-BUTYL ETHER,3.43E-03,3.95E-03,4.29E-03,2.57E-03,5.02E+01,1.35E-04,1.97E-01,1.97E-01,1.72E-03,1.97E-03,2.15E-03,1.28E-03,2.51E+01,6.77E-05,9.87E-02,9.87E-02,,F
,143-07-7,DODECANOIC ACID,1.73E+01,2.20E+01,2.51E+01,9.44E+00,4.15E+02,3.86E-06,1.34E+00,1.29E+01,8.63E+00,1.10E+01,1.25E+01,4.72E+00,2.08E+02,1.93E-06,6.71E-01,6.45E+00,,F
,143-08-8,1-NONANOL,4.85E+00,4.87E+00,4.89E+00,4.81E+00,7.47E+02,9.06E-02,3.04E+01,3.04E+01,2.42E+00,2.44E+00,2.44E+00,2.41E+00,3.73E+02,4.53E-02,1.52E+01,1.52E+01,,
,14321-27-8,"BENZENEMETHANAMINE, N-ETHYL-",3.73E+01,5.60E+01,6.85E+01,5.99E+00,2.57E+02,4.33E-04,8.61E-02,8.62E-02,1.86E+01,2.80E+01,3.43E+01,3.00E+00,1.28E+02,2.16E-04,4.30E-02,4.31E-02,,F
,143-22-6,TRIETHYLENE GLYCOL BUTYL ETHER,5.94E+00,6.19E+00,6.35E+00,5.54E+00,2.05E+01,5.41E-06,6.54E+00,6.54E+00,2.97E+00,3.09E+00,3.17E+00,2.77E+00,1.02E+01,2.71E-06,3.27E+00,3.27E+00,,
,143-27-1,N-HEXADECYLAMINE,2.94E+05,4.40E+05,5.37E+05,5.06E+04,2.13E+06,2.34E+01,5.21E+02,5.23E+02,1.47E+05,2.20E+05,2.69E+05,2.53E+04,1.07E+06,1.17E+01,2.61E+02,2.61E+02,,F
,144-21-8,DSMA,1.66E+02,1.55E+02,1.48E+02,1.85E+02,4.22E+02,1.56E-08,2.00E+02,2.00E+02,8.32E+01,7.76E+01,7.39E+01,9.26E+01,2.11E+02,7.80E-09,1.00E+02,1.00E+02,,F
,14437-17-3,CHLORFENPROP METHYL,3.16E+04,3.19E+04,3.21E+04,3.11E+04,1.50E+06,1.20E+03,3.82E+04,3.82E+04,1.58E+04,1.59E+04,1.60E+04,1.55E+04,7.48E+05,5.99E+02,1.91E+04,1.91E+04,,F
,144-49-0,FLUOROACETIC ACID,1.79E+01,2.31E+01,2.65E+01,9.37E+00,8.96E+01,1.97E-09,8.02E+00,7.98E+00,8.97E+00,1.15E+01,1.33E+01,4.69E+00,4.48E+01,9.86E-10,4.01E+00,3.99E+00,,F
,144-54-7,Metham (acid),6.33E+02,7.85E+02,8.85E+02,3.81E+02,1.91E+04,4.14E-04,2.71E+03,2.43E+03,3.17E+02,3.92E+02,4.43E+02,1.91E+02,9.53E+03,2.07E-04,1.36E+03,1.21E+03,,F
,144-62-7,OXALIC ACID,3.09E+00,3.83E+00,4.33E+00,1.86E+00,1.44E+01,5.75E-14,1.70E+00,1.70E+00,1.55E+00,1.92E+00,2.16E+00,9.30E-01,7.21E+00,2.88E-14,8.48E-01,8.48E-01,,F
,1461-22-9,TRIBUTYLCHLOROSTANNANE,2.48E+02,3.55E+02,4.27E+02,6.76E+01,3.70E+06,2.85E+00,1.52E+03,1.52E+03,1.24E+02,1.78E+02,2.14E+02,3.38E+01,1.85E+06,1.42E+00,7.61E+02,7.61E+02,,F
,1461-25-2,TETRABUTYLTIN,1.76E-02,2.82E-02,3.53E-02,6.31E-06,1.97E+02,9.07E-09,3.50E-03,3.50E-03,8.82E-03,1.41E-02,1.76E-02,3.16E-06,9.84E+01,4.54E-09,1.75E-03,1.75E-03,,F
,14816-20-7,Chlorphoxim,5.14E+04,7.42E+04,8.94E+04,1.33E+04,5.51E+06,1.93E+01,1.25E+04,1.25E+04,2.57E+04,3.71E+04,4.47E+04,6.64E+03,2.76E+06,9.63E+00,6.25E+03,6.25E+03,,F
,14938-35-3,4-PENTYLPHENOL,8.62E+00,9.47E+00,1.00E+01,7.22E+00,3.36E+03,2.07E-01,1.29E+01,1.29E+01,4.31E+00,4.73E+00,5.01E+00,3.61E+00,1.68E+03,1.03E-01,6.45E+00,6.45E+00,,
,149-57-5,"HEXANOIC ACID, 2-ETHYL-",2.89E+00,3.24E+00,3.48E+00,2.30E+00,8.16E+01,3.19E-06,2.13E+00,4.37E+00,1.45E+00,1.62E+00,1.74E+00,1.15E+00,4.08E+01,1.59E-06,1.07E+00,2.19E+00,,F
,149979-41-9,BAS 620H,5.75E+01,7.88E+01,9.30E+01,2.21E+01,4.05E+02,1.13E-08,1.25E+01,2.78E+01,2.88E+01,3.94E+01,4.65E+01,1.10E+01,2.03E+02,5.63E-09,6.26E+00,1.39E+01,,
,151-21-3,"DODECYL SULFATE, SODIUM SALT",3.08E+02,3.17E+02,3.23E+02,2.93E+02,2.24E+03,2.60E-12,3.68E+02,3.68E+02,1.54E+02,1.58E+02,1.61E+02,1.47E+02,1.12E+03,1.30E-12,1.84E+02,1.84E+02,,F
