,"Productions agricoles francaises conventionnelles
(ou étrangères modélisées dans le cadre d'Agribalyse)",,,,,,,,,"*Ces indicateurs représentent l’impact sur la santé lié à l’exposition de la population générale aux contaminants chimiques via les pollutions du milieu (air, eau, sol).  Ces contaminants émis dans l’environnement sont notamment des pesticides, des métaux lourds ou encore des polluants industriels. L’exposition par ingestion directe d’un aliment contenant des résidus de pesticides n’est pour l’instant pas intégrée dans les calculs d’Analyse du Cycle de Vie. Cette exposition est par ailleurs encadrée par la réglementation « Limites Maximales de Résidus (LMR) » au niveau français et européen.  ",,,,,,,,,,,,,
,,,,Score unique EF3.1 ,Changement climatique,Appauvrissement de la couche d'ozone ,Rayonnements ionisants ,Formation photochimique d'ozone ,Particules ,Effets toxicologiques sur la santé humaine : substances non-cancérogènes*,Effets toxicologiques sur la santé humaine : substances cancérogènes*,Acidification terrestre et eaux douces,Eutrophisation eaux douces ,Eutrophisation marine ,Eutrophisation terreste,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols
Nom du Produit en Français,LCI Name,Type de production,Catégorie,mPt/kg,kg CO2 eq/kg,kg CFC11 eq/kg,kBq U-235 eq/kg,kg NMVOC eq/kg,disease inc./kg,CTUh/kg,CTUh/kg,mol H+ eq/kg,kg P eq/kg,kg N eq/kg,mol N eq/kg,CTUe/kg,Pt/kg,m3 depriv./kg,MJ/kg,kg Sb eq/kg,kg CO2 eq/kg,kg CO2 eq/kg,kg CO2 eq/kg
"Carotte, conventionnel, hiver, Mont St. Michel, Basse-Normandie, à la ferme, France","Carrot, conventional, winter, Mont St. Michel, Lower Normandie, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,1.04E-02,6.49E-02,3.05E-09,4.00E-03,2.11E-04,4.16E-09,5.59E-09,7.93E-11,5.65E-04,1.48E-05,8.62E-04,2.04E-03,5.20E+00,6.29E+00,2.77E-02,6.90E-01,6.05E-07,3.54E-05,6.48E-02,5.46E-05
"Carotte, conventionnel, hiver, Val de Saire, Basse-Normandie, à la ferme, France","Carrot, conventional, winter, Val de Saire, Lower Normandie, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,9.06E-03,6.09E-02,3.41E-09,4.48E-03,1.99E-04,3.91E-09,1.52E-09,7.20E-11,5.20E-04,1.43E-05,5.51E-04,1.79E-03,5.23E+00,5.16E+00,2.86E-02,7.13E-01,6.31E-07,3.77E-05,6.08E-02,5.88E-05
"Carotte, conventionnel, précoce, Aquitaine, à la ferme, France","Carrot, conventional, early, Aquitaine, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,2.26E-02,7.99E-02,2.94E-09,3.43E-02,3.00E-04,7.47E-09,7.80E-09,1.34E-10,1.06E-03,3.14E-05,1.25E-03,2.27E-03,1.75E+01,6.82E+00,4.20E-01,1.63E+00,1.14E-06,1.37E-04,7.96E-02,7.91E-05
"Cerise, conventionnelle, moyenne nationale, au verger, France","Cherry, conventional, national average, at orchard {FR} U",Culture,Agricultural\Plant production\Fruits\Transformation,1.74E-01,4.61E-01,1.04E-08,2.61E-02,1.81E-03,2.06E-08,2.40E-08,9.69E-10,2.97E-03,2.41E-04,9.56E-04,1.03E-02,6.69E+01,7.28E+02,4.67E+00,5.65E+00,4.36E-06,4.39E-04,4.60E-01,3.79E-04
"Chanvre, paille, Champagne, à la ferme, France","Hemp, straw, ret, Champagne, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,2.92E-02,1.51E-01,1.26E-09,3.24E-03,3.65E-04,2.39E-08,1.13E-08,3.96E-10,3.50E-03,8.86E-05,2.51E-03,1.55E-02,9.45E-01,4.35E+01,1.66E-02,7.02E-01,6.49E-07,2.36E-05,1.00E-01,5.10E-02
"Chevreau, conventionnel, fourage intensif, à la ferme, France","Kid goat, conventional, intensive forage area, at farm gate {FR} U",Elevage,Agricultural\Animal production\Caprine\Transformation,3.78E-01,2.69E+00,2.01E-08,2.13E-01,5.22E-03,4.64E-07,4.12E-08,1.56E-09,6.52E-02,2.59E-04,1.14E-02,2.85E-01,2.30E+01,2.35E+02,1.16E+00,1.20E+01,6.78E-06,1.27E+00,1.30E+00,1.22E-01
"Chevrette de réforme, conventionnel, fourrage intensif, à la ferme, France","Cull goat, conventional, intensive forage area, at farm gate {FR} U",Elevage,Agricultural\Animal production\Dairy\Transformation,1.27E+00,8.03E+00,5.83E-08,5.46E-01,1.51E-02,1.72E-06,1.71E-07,5.53E-09,2.50E-01,5.63E-04,3.29E-02,1.11E+00,7.77E+01,5.85E+02,2.84E+00,2.72E+01,1.79E-05,4.75E+00,3.39E+00,-1.08E-01
"Chicorée witlode, en saison, conventionnel, perte de réfrigérant 300%, stockage et forçage, à la ferme, France","Chicory witloof, season, conventional, refrigerant loss 300%, storage and forcing, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,4.36E-02,8.57E-01,1.96E-07,2.13E-01,3.54E-04,7.12E-09,2.58E-09,1.69E-10,6.72E-04,3.71E-05,1.42E-04,1.63E-03,8.35E+00,4.22E-01,6.69E-02,5.44E+00,2.15E-06,2.02E-04,8.57E-01,7.03E-05
"Chou-fleur conventionnel, culture d'été, à la ferme, France","Cauliflower, summer, conventional, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,2.94E-02,2.16E-01,1.00E-08,1.34E-02,6.52E-04,9.73E-09,5.19E-09,1.49E-10,1.55E-03,2.26E-05,6.61E-03,6.38E-03,2.09E+00,1.67E+01,6.77E-02,1.67E+00,1.39E-06,6.21E-05,2.15E-01,7.73E-05
"Chou-fleur conventionnel, culture d'hiver, à la ferme, France","Cauliflower, winter, conventional, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,3.17E-02,2.22E-01,8.85E-09,1.64E-02,6.51E-04,2.07E-08,2.11E-08,2.87E-10,3.11E-03,2.44E-05,2.84E-03,1.32E-02,2.62E+00,2.31E+01,2.66E-02,1.72E+00,1.36E-06,5.93E-05,2.22E-01,9.20E-05
